tweet_id,dog_types,month,retweet_count,favorite_count,rating
750011400160841729,doggo,July,819,2997,1.1
749417653287129088,pupper,July,1505,5653,1.1
749036806121881602,doggo,July,728,2873,0.8
748692773788876800,doggo,July,1223,3943,1.0
748575535303884801,pupper,June,1799,5617,0.6
747963614829678593,pupper,June,1948,5358,1.0
746056683365994496,pupper,June,737,3313,1.1
745433870967832576,doggo,June,2300,6522,1.0
744995568523612160,puppo,June,566,2731,0.9
744234799360020481,doggo,June,70330,144244,1.3
743253157753532416,puppo,June,1114,3921,1.0
742465774154047488,pupper,June,3584,6730,1.4
742150209887731712,pupper,June,1393,4693,0.8
741743634094141440,pupper,June,2486,7530,1.1
741067306818797568,pupper,June,2801,8832,1.2
740676976021798912,pupper,June,6183,16783,1.1
739606147276148736,pupper,June,1487,4974,0.9
739238157791694849,doggo,June,52631,106779,1.3
738537504001953792,puppo,June,1392,4690,1.1
737310737551491075,pupper,May,6725,13480,1.3
736365877722001409,pupper,May,1110,3650,1.1
735648611367784448,pupper,May,1005,3720,1.2
735256018284875776,doggo,May,801,3053,0.8
735137028879360001,pupper,May,876,2872,0.9
733109485275860992,doggo,May,15454,49220,1.2
732375214819057664,doggo,May,2274,7412,1.1
731156023742988288,doggo,May,1140,3541,1.2
730573383004487680,pupper,May,1906,4453,1.0
728035342121635841,pupper,May,1507,4149,1.2
728015554473250816,pupper,May,989,3783,1.1
727644517743104000,doggo,May,1584,5373,1.3
727524757080539137,pupper,May,1079,4098,1.0
727314416056803329,pupper,May,670,3060,1.1
725786712245440512,pupper,April,1240,3842,1.1
724771698126512129,doggo,April,566,2149,1.1
724405726123311104,pupper,April,1508,4859,1.0
724004602748780546,pupper,April,1387,3826,1.1
721001180231503872,pupper,April,551,2342,1.1
720340705894408192,pupper,April,872,2618,1.0
719991154352222208,doggo,April,1589,4473,1.0
719704490224398336,pupper,April,1293,4170,1.2
717790033953034240,pupper,April,985,2631,1.0
717009362452090881,pupper,April,867,2971,1.0
716080869887381504,doggo,April,1702,6238,1.1
714606013974974464,pupper,March,827,3337,1.2
713900603437621249,pupper,March,660,2612,1.1
711968124745228288,pupper,March,2089,7407,1.0
711008018775851008,pupper,March,559,2737,1.1
710658690886586372,pupper,March,512,2135,1.0
710117014656950272,pupper,March,1778,5020,1.1
709901256215666688,pupper,March,92,608,1.2
708845821941387268,pupper,March,801,2738,0.9
707411934438625280,pupper,March,543,2112,1.1
707315916783140866,pupper,March,576,2281,1.0
